condition|pulmonary|transplant|year_verification
healthy|N|N|Both
breast cancer|N|N|Both
diabetes|N|N|Both
prostate cancer|N|N|Both
type 2 diabetes|N|N|Both
type 2 diabetes mellitus|N|N|Both
healthy volunteers|N|N|Both
hiv|N|N|New only
cancer|N|N|Both
rheumatoid arthritis|N|N|Both
colorectal cancer|N|N|Both
influenza|N|N|Both
lung cancer|N|N|Both
non-small cell lung cancer|N|N|Both
chronic obstructive pulmonary disease|Y|N|Both
alzheimer's disease|N|N|Both
major depressive disorder|N|N|Both
parkinson's disease|N|N|Both
cardiovascular disease|N|N|Both
pancreatic cancer|N|N|Both
chronic kidney disease|N|N|Both
hepatocellular carcinoma|N|N|Both
ovarian cancer|N|N|Both
metabolic syndrome|N|N|Both
type 1 diabetes|N|N|Both
postoperative pain|N|N|Both
solid tumors|N|N|Both
gastric cancer|N|N|Both
acute myeloid leukemia|N|N|Both
healthy subjects|N|N|Both
head and neck cancer|N|N|Both
copd|Y|N|Both
obstructive sleep apnea|Y|N|Both
crohn's disease|N|N|Both
metastatic breast cancer|N|N|Both
spinal cord injury|N|N|Both
chronic lymphocytic leukemia|N|N|Both
ulcerative colitis|N|N|Both
knee osteoarthritis|N|N|Both
myelodysplastic syndrome|N|N|Both
traumatic brain injury|N|N|Both
hiv infection|N|N|Both
quality of life|N|N|New only
physical activity|N|N|Both
cervical cancer|N|N|Both
healthy volunteer|N|N|Both
insomnia|N|N|Both
bladder cancer|N|N|Both
mild cognitive impairment|N|N|Both
atopic dermatitis|N|N|Both
rectal cancer|N|N|Both
type 1 diabetes mellitus|N|N|Both
surgery|N|N|Both
advanced solid tumors|N|N|Both
esophageal cancer|N|N|Both
non small cell lung cancer|N|N|Both
metastatic colorectal cancer|N|N|Both
colon cancer|N|N|Both
schizoaffective disorder|N|N|Both
chronic obstructive pulmonary disease (copd)|Y|N|Both
end stage renal disease|N|N|Both
attention deficit hyperactivity disorder|N|N|Both
dyslipidemia|N|N|Both
ischemic stroke|N|N|Both
advanced cancer|N|N|Both
allergic rhinitis|N|N|Both
posttraumatic stress disorder|N|N|Both
hyperlipidemia|N|N|Both
migraine|N|N|Both
acute lymphoblastic leukemia|N|N|Both
sickle cell disease|N|N|Both
nicotine dependence|N|N|Both
solid tumor|N|N|Both
chronic hepatitis c|N|N|Both
glioblastoma multiforme|N|N|Both
renal cell carcinoma|N|N|Both
pulmonary arterial hypertension|Y|N|Both
overactive bladder|N|N|Both
unspecified adult solid tumor, protocol specific|N|N|Both
acute myocardial infarction|N|N|Both
alcohol dependence|N|N|Both
septic shock|Y|N|Both
cirrhosis|N|N|Both
systemic lupus erythematosus|N|N|Both
coronary heart disease|N|N|Both
congestive heart failure|N|N|Both
liver cancer|N|N|Both
stress|N|N|Both
diabetic macular edema|N|N|Both
chronic hepatitis b|N|N|Both
pulmonary hypertension|Y|N|Both
non-hodgkin's lymphoma|N|N|Both
morbid obesity|N|N|Both
hiv-1 infection|N|N|Both
stage iv breast cancer|N|N|Both
ptsd|N|N|Both
endometrial cancer|N|N|Both
diabetes mellitus type 2|N|N|Both
fallopian tube cancer|N|N|Both
chronic low back pain|N|N|Both
age-related macular degeneration|N|N|Both
cardiac arrest|N|N|Both
autism|N|N|Both
