mesh_id|mesh_term|pulmonary|transplant|year_verification
C01|bacterial infections and mycoses|N|N|Both
C01.252|bacterial infections|N|N|Both
C01.252.100|bacteremia|N|N|Both
C01.252.100.375|hemorrhagic septicemia|Y|N|Both
C01.252.200|central nervous system bacterial infections|N|N|Both
C01.252.200.100|brain abscess|N|N|Old only
C01.252.200.200|empyema, subdural|N|N|Old only
C01.252.200.250|epidural abscess|N|N|Old only
C01.252.200.450|lyme neuroborreliosis|N|N|Both
C01.252.200.500|meningitis, bacterial|N|N|Both
C01.252.200.500.400|meningitis, escherichia coli|N|N|Both
C01.252.200.500.450|meningitis, haemophilus|N|N|Both
C01.252.200.500.500|meningitis, listeria|N|N|Both
C01.252.200.500.550|meningitis, meningococcal|N|N|Both
C01.252.200.500.550.800|waterhouse-friderichsen syndrome|N|N|Both
C01.252.200.500.600|meningitis, pneumococcal|N|N|Both
C01.252.200.500.800|tuberculosis, meningeal|N|N|Both
C01.252.200.750|neurosyphilis|N|N|Both
C01.252.300|endocarditis, bacterial|N|N|Both
C01.252.300.407|endocarditis, subacute bacterial|N|N|Both
C01.252.354|eye infections, bacterial|N|N|Both
C01.252.354.225|conjunctivitis, bacterial|N|N|Both
C01.252.354.225.250|conjunctivitis, inclusion|N|N|Both
C01.252.354.225.625|ophthalmia neonatorum|N|N|Both
C01.252.354.225.800|trachoma|N|N|Both
C01.252.354.400|hordeolum|N|N|Both
C01.252.354.450|keratoconjunctivitis, infectious|N|N|Both
C01.252.354.800|tuberculosis, ocular|N|N|Both
C01.252.354.900|uveitis, suppurative|N|N|Both
C01.252.354.900.350|endophthalmitis|N|N|Old only
C01.252.354.900.675|panophthalmitis|N|N|Both
C01.252.377|fournier gangrene|N|N|Both
C01.252.400|gram-negative bacterial infections|N|N|Both
C01.252.400.050|aliivibrio infections|N|N|New only
C01.252.400.054|anaplasmataceae infections|N|N|Both
C01.252.400.054.050|anaplasmosis|N|N|Both
C01.252.400.054.160|ehrlichiosis|N|N|Both
C01.252.400.054.160.400|heartwater disease|N|N|Both
C01.252.400.110|bacteroidaceae infections|N|N|Both
C01.252.400.110.109|bacteroides infections|N|N|Both
C01.252.400.126|bartonellaceae infections|N|N|Both
C01.252.400.126.100|bartonella infections|N|N|Both
C01.252.400.126.100.050|angiomatosis, bacillary|N|N|Both
C01.252.400.126.100.150|cat-scratch disease|N|N|Both
