"FREE_TEXT_CONDITION_ID","CONDITION","CARDIOLOGY","DERMATOLOGY","ENDOCRINOLOGY","GI_HEPATOLOGY","IMMUNO_RHEUMATOLOGY","INFECTIOUS_DISEASES","NEPHROLOGY","NEUROLOGY","PSYCH_GENERAL","PSYCH_SPECIFIC","ONCOLOGY_GENERAL","ONCOLOGY_SPECIFIC","OTOLARYNGOLOGY","PULMONARY_MEDICINE","REPRODUCTIVE_MEDICINE","PAD","PVD","BONE_GENERAL","BONE_SPECIFIC","DIABETES_GENERAL","DIABETES_SPECIFIC","THYROID_GENERAL","HEPATOLOGY_SPECIFIC"
198,"Bleeding","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
199,"Deep Vein Thrombosis","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N"
200,"Degenerative Disc Disease","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
201,"Diabetes Type 2","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N"
202,"Growth Hormone Deficiency","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
203,"HIV-1 Infection","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
204,"Peripheral Artery Disease","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N"
205,"Recurrent Adult Diffuse Large Cell Lymphoma","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
206,"Recurrent Grade 3 Follicular Lymphoma","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
207,"Soft Tissue Sarcoma","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
208,"Acute Ischemic Stroke","Y","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N"
209,"Adult Acute Myeloid Leukemia With 11q23 (MLL) Abnormalities","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
210,"Brain Injury","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
211,"Brain Tumor","Y","N","N","N","N","N","N","Y","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N"
212,"Diabetic Foot Ulcers","N","N","Y","N","N","Y","N","N","N","N","N","N","N","N","N","M","N","N","N","Y","Y","N","N"
213,"Epithelial Ovarian Cancer","N","N","Y","N","N","N","N","N","N","N","Y","Y","N","N","Y","N","N","N","N","N","N","N","N"
214,"HCV Infection","N","N","N","Y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y"
215,"In Vitro Fertilization","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N"
216,"Percutaneous Coronary Intervention","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
217,"Primary Insomnia","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N","N","N"
218,"Psychosocial Effects of Cancer and Its Treatment","N","N","N","N","N","N","N","N","Y","N","Y","Y","N","N","Y","N","N","N","N","N","N","N","N"
219,"Severe Sepsis","N","N","N","N","N","y","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N"
220,"Skin Cancer","N","y","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
221,"Stress Urinary Incontinence","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N"
222,"Urinary Tract Infection","N","N","N","N","N","y","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N"
223,"Acute Renal Failure","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
224,"Adult Acute Myeloid Leukemia With T(16;16)(p13;q22)","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
225,"Advanced Cancers","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
226,"Hodgkin Lymphoma","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
227,"Japanese Encephalitis","N","N","N","N","N","y","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
228,"Kidney Disease","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
229,"Lower Urinary Tract Symptoms","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N"
230,"Mechanical Ventilation","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N","N"
231,"Metastatic Pancreatic Cancer","N","N","Y","Y","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
232,"Nausea and Vomiting","N","N","N","Y","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N"
233,"Nodal Marginal Zone B-cell Lymphoma","N","N","N","N","N","N","N","N","N","N","Y","Y","N","N","N","N","N","N","N","N","N","N","N"
234,"Peripheral Neuropathy","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
235,"Prematurity","N","N","N","N","N","N","N","N","N","N","N","N","N","N","Y","N","N","N","N","N","N","N","N"
236,"Psoriasis Vulgaris","N","y","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N","N"
